period_end_utc,wholesalePrice
2024-01-18 18:30:00,-57.17
2024-01-18 19:00:00,-51.469233333333335
2024-01-18 19:30:00,-47.279874
2024-01-18 20:00:00,-50.01
2024-01-18 20:30:00,31.02146
2024-01-18 21:00:00,9.0
2024-01-18 21:30:00,9.0
2024-01-18 22:00:00,9.0
2024-01-18 22:30:00,9.0
2024-01-18 23:00:00,19.19
2024-01-18 23:30:00,19.19
2024-01-19 00:00:00,9.0
2024-01-19 00:30:00,19.12
2024-01-19 01:00:00,48.6889
2024-01-19 01:30:00,49.58476
2024-01-19 02:00:00,50.47997
2024-01-19 02:30:00,48.86567
2024-01-19 03:00:00,48.36297
2024-01-19 03:30:00,50.36452
2024-01-19 04:00:00,50.69938
2024-01-19 04:30:00,53.36587
2024-01-19 05:00:00,53.24668
2024-01-19 05:30:00,52.67093
2024-01-19 06:00:00,54.39659
2024-01-19 06:30:00,62.76
2024-01-19 07:00:00,62.76
2024-01-19 07:30:00,62.76
2024-01-19 08:00:00,37.82655
2024-01-19 08:30:00,10.26695
2024-01-19 09:00:00,9.90019
2024-01-19 09:30:00,9.76758
2024-01-19 10:00:00,8.95
2024-01-19 10:30:00,8.95
2024-01-19 11:00:00,8.95
2024-01-19 11:30:00,0.02
2024-01-19 12:00:00,-15.05005
2024-01-19 12:30:00,-14.95866
2024-01-19 13:00:00,-18.98
2024-01-19 13:30:00,-20.0
2024-01-19 14:00:00,-20.11843
2024-01-19 14:30:00,-18.19296
2024-01-19 15:00:00,-18.19564
2024-01-19 15:30:00,-18.0497
2024-01-19 16:00:00,-1.6005
2024-01-19 16:30:00,2.51739
2024-01-19 17:00:00,9.0
2024-01-19 17:30:00,9.54222
2024-01-19 18:00:00,19.19
2024-01-19 18:30:00,19.12
